process_id,next_process_id,process_name,process_type,manufacturing_category,hierarchy_level,is_side_input,equipment,duration_hours,temperature_c,lci_inputs,products,description
P001,P002,Battery_Refrigeration,Preparation,Recycling,0,false,Refrigerator_115V_6.2A,2.5,4,"[{""name"":""Electricity US Market"",""quantity"":88.1,""unit"":""kilowatt hour"",""activity_name"":""market group for electricity, high voltage"",""reference_product"":""electricity, high voltage"",""location"":""US"",""traci_scores_per_unit"":{""acidification"":0.0010783466898392033,""climate_change"":0.47364378364056875,""ecotoxicity_freshwater"":4.0086254417516285,""eutrophication"":0.0030612886136400694,""human_toxicity_carcinogenic"":6.769333359516778e-8,""human_toxicity_non_carcinogenic"":1.2086307600978304e-7,""ozone_depletion"":1.4927648526597362e-9,""particulate_matter"":0.0011644174367318656,""photochemical_oxidant"":0.013172422097287091},""ecoinvent_version"":""3.11"",""cost_per_unit"":0.071,""cost_unit"":""USD/kWh"",""impact_sources"":{""greet_2025"":{""traci_scores_per_unit"":{""acidification"":0.00042899,""climate_change"":0.392645,""ecotoxicity_freshwater"":0,""eutrophication"":0.0000158806,""human_toxicity_carcinogenic"":0,""human_toxicity_non_carcinogenic"":0,""ozone_depletion"":0,""particulate_matter"":0.0000402869,""photochemical_oxidant"":0.00916165},""activity_name"":""electricity, grid mix at user site, US average"",""reference_product"":""electricity"",""location"":""US"",""database"":""greet_2025""}}}]",[],Refrigeration
P002,P003,Battery_Charging,Preparation,Recycling,0,false,Arbin_RBT3_380V_45A,2.5,4,"[{""name"":""Electricity US Market"",""quantity"":89.1,""unit"":""kilowatt hour"",""activity_name"":""market group for electricity, high voltage"",""reference_product"":""electricity, high voltage"",""location"":""US"",""traci_scores_per_unit"":{""acidification"":0.0010783466898392033,""climate_change"":0.47364378364056875,""ecotoxicity_freshwater"":4.0086254417516285,""eutrophication"":0.0030612886136400694,""human_toxicity_carcinogenic"":6.769333359516778e-8,""human_toxicity_non_carcinogenic"":1.2086307600978304e-7,""ozone_depletion"":1.4927648526597362e-9,""particulate_matter"":0.0011644174367318656,""photochemical_oxidant"":0.013172422097287091},""ecoinvent_version"":""3.11"",""cost_per_unit"":0.071,""cost_unit"":""USD/kWh"",""impact_sources"":{""greet_2025"":{""traci_scores_per_unit"":{""acidification"":0.00042899,""climate_change"":0.392645,""ecotoxicity_freshwater"":0,""eutrophication"":0.0000158806,""human_toxicity_carcinogenic"":0,""human_toxicity_non_carcinogenic"":0,""ozone_depletion"":0,""particulate_matter"":0.0000402869,""photochemical_oxidant"":0.00916165},""activity_name"":""electricity, grid mix at user site, US average"",""reference_product"":""electricity"",""location"":""US"",""database"":""greet_2025""}}}]",[],Charging at 2C rate for 2.5h with refrigeration (89.1 kWh total: 85.5 charging + 3.6 refrigeration)
P003,P004,Cell_Discharging,Preparation,Recycling,0,false,Arbin_RBT3_380V_45A,2,25,"[{""name"":""Electricity US Market"",""quantity"":17.1,""unit"":""kilowatt hour"",""activity_name"":""market group for electricity, high voltage"",""reference_product"":""electricity, high voltage"",""location"":""US"",""traci_scores_per_unit"":{""acidification"":0.0010783466898392033,""climate_change"":0.47364378364056875,""ecotoxicity_freshwater"":4.0086254417516285,""eutrophication"":0.0030612886136400694,""human_toxicity_carcinogenic"":6.769333359516778e-8,""human_toxicity_non_carcinogenic"":1.2086307600978304e-7,""ozone_depletion"":1.4927648526597362e-9,""particulate_matter"":0.0011644174367318656,""photochemical_oxidant"":0.013172422097287091},""ecoinvent_version"":""3.11"",""cost_per_unit"":0.071,""cost_unit"":""USD/kWh"",""impact_sources"":{""greet_2025"":{""traci_scores_per_unit"":{""acidification"":0.00042899,""climate_change"":0.392645,""ecotoxicity_freshwater"":0,""eutrophication"":0.0000158806,""human_toxicity_carcinogenic"":0,""human_toxicity_non_carcinogenic"":0,""ozone_depletion"":0,""particulate_matter"":0.0000402869,""photochemical_oxidant"":0.00916165},""activity_name"":""electricity, grid mix at user site, US average"",""reference_product"":""electricity"",""location"":""US"",""database"":""greet_2025""}}}]",[],Discharge before disassembly
P004,P005,Battery_Disassembly,Disassembly,Recycling,1,false,Robotic_Disassembly_120V_15A,4,25,"[{""name"":""Electricity US Market"",""quantity"":7.2,""unit"":""kilowatt hour"",""activity_name"":""market group for electricity, high voltage"",""reference_product"":""electricity, high voltage"",""location"":""US"",""traci_scores_per_unit"":{""acidification"":0.0010783466898392033,""climate_change"":0.47364378364056875,""ecotoxicity_freshwater"":4.0086254417516285,""eutrophication"":0.0030612886136400694,""human_toxicity_carcinogenic"":6.769333359516778e-8,""human_toxicity_non_carcinogenic"":1.2086307600978304e-7,""ozone_depletion"":1.4927648526597362e-9,""particulate_matter"":0.0011644174367318656,""photochemical_oxidant"":0.013172422097287091},""ecoinvent_version"":""3.11"",""cost_per_unit"":0.071,""cost_unit"":""USD/kWh"",""impact_sources"":{""greet_2025"":{""traci_scores_per_unit"":{""acidification"":0.00042899,""climate_change"":0.392645,""ecotoxicity_freshwater"":0,""eutrophication"":0.0000158806,""human_toxicity_carcinogenic"":0,""human_toxicity_non_carcinogenic"":0,""ozone_depletion"":0,""particulate_matter"":0.0000402869,""photochemical_oxidant"":0.00916165},""activity_name"":""electricity, grid mix at user site, US average"",""reference_product"":""electricity"",""location"":""US"",""database"":""greet_2025""}}}]",[],Industrial scale robotic disassembly
P005,P006,Box_Evacuation,Disassembly,Recycling,1,false,Vacuum_Pump_120V_15A,1,25,"[{""name"":""Electricity US Market"",""quantity"":1.8,""unit"":""kilowatt hour"",""activity_name"":""market group for electricity, high voltage"",""reference_product"":""electricity, high voltage"",""location"":""US"",""traci_scores_per_unit"":{""acidification"":0.0010783466898392033,""climate_change"":0.47364378364056875,""ecotoxicity_freshwater"":4.0086254417516285,""eutrophication"":0.0030612886136400694,""human_toxicity_carcinogenic"":6.769333359516778e-8,""human_toxicity_non_carcinogenic"":1.2086307600978304e-7,""ozone_depletion"":1.4927648526597362e-9,""particulate_matter"":0.0011644174367318656,""photochemical_oxidant"":0.013172422097287091},""ecoinvent_version"":""3.11"",""cost_per_unit"":0.071,""cost_unit"":""USD/kWh"",""impact_sources"":{""greet_2025"":{""traci_scores_per_unit"":{""acidification"":0.00042899,""climate_change"":0.392645,""ecotoxicity_freshwater"":0,""eutrophication"":0.0000158806,""human_toxicity_carcinogenic"":0,""human_toxicity_non_carcinogenic"":0,""ozone_depletion"":0,""particulate_matter"":0.0000402869,""photochemical_oxidant"":0.00916165},""activity_name"":""electricity, grid mix at user site, US average"",""reference_product"":""electricity"",""location"":""US"",""database"":""greet_2025""}}}]",[],Controlled atmosphere evacuation
P006,P007,Pouch_Cell_Opening,Disassembly,Recycling,1,false,Robotic_Disassembly_120V_15A,24,25,"[{""name"":""Electricity US Market"",""quantity"":43.2,""unit"":""kilowatt hour"",""activity_name"":""market group for electricity, high voltage"",""reference_product"":""electricity, high voltage"",""location"":""US"",""traci_scores_per_unit"":{""acidification"":0.0010783466898392033,""climate_change"":0.47364378364056875,""ecotoxicity_freshwater"":4.0086254417516285,""eutrophication"":0.0030612886136400694,""human_toxicity_carcinogenic"":6.769333359516778e-8,""human_toxicity_non_carcinogenic"":1.2086307600978304e-7,""ozone_depletion"":1.4927648526597362e-9,""particulate_matter"":0.0011644174367318656,""photochemical_oxidant"":0.013172422097287091},""ecoinvent_version"":""3.11"",""cost_per_unit"":0.071,""cost_unit"":""USD/kWh"",""impact_sources"":{""greet_2025"":{""traci_scores_per_unit"":{""acidification"":0.00042899,""climate_change"":0.392645,""ecotoxicity_freshwater"":0,""eutrophication"":0.0000158806,""human_toxicity_carcinogenic"":0,""human_toxicity_non_carcinogenic"":0,""ozone_depletion"":0,""particulate_matter"":0.0000402869,""photochemical_oxidant"":0.00916165},""activity_name"":""electricity, grid mix at user site, US average"",""reference_product"":""electricity"",""location"":""US"",""database"":""greet_2025""}}}]",[],24h robotic opening of pouch cells
P007,P008;P009,Disassembled_Batteries_Dissolution,Chemical_Processing,Recycling,2,false,Stainless_Steel_Reactor,3,25,"[{""name"":""Electricity US Market"",""quantity"":1.3,""unit"":""kilowatt hour"",""activity_name"":""market group for electricity, high voltage"",""reference_product"":""electricity, high voltage"",""location"":""US"",""traci_scores_per_unit"":{""acidification"":0.0010783466898392033,""climate_change"":0.47364378364056875,""ecotoxicity_freshwater"":4.0086254417516285,""eutrophication"":0.0030612886136400694,""human_toxicity_carcinogenic"":6.769333359516778e-8,""human_toxicity_non_carcinogenic"":1.2086307600978304e-7,""ozone_depletion"":1.4927648526597362e-9,""particulate_matter"":0.0011644174367318656,""photochemical_oxidant"":0.013172422097287091},""ecoinvent_version"":""3.11"",""cost_per_unit"":0.071,""cost_unit"":""USD/kWh"",""impact_sources"":{""greet_2025"":{""traci_scores_per_unit"":{""acidification"":0.00042899,""climate_change"":0.392645,""ecotoxicity_freshwater"":0,""eutrophication"":0.0000158806,""human_toxicity_carcinogenic"":0,""human_toxicity_non_carcinogenic"":0,""ozone_depletion"":0,""particulate_matter"":0.0000402869,""photochemical_oxidant"":0.00916165},""activity_name"":""electricity, grid mix at user site, US average"",""reference_product"":""electricity"",""location"":""US"",""database"":""greet_2025""}}},{""name"":""Water"",""quantity"":10,""unit"":""kilogram"",""activity_name"":""water production, ultrapure"",""reference_product"":""water, ultrapure"",""location"":""RoW"",""traci_scores_per_unit"":{""acidification"":0.00002590744596061084,""climate_change"":0.005975497094308466,""ecotoxicity_freshwater"":0.10981961317765973,""eutrophication"":0.0003730095870964186,""human_toxicity_carcinogenic"":4.974086822100288e-9,""human_toxicity_non_carcinogenic"":2.208432165905287e-9,""ozone_depletion"":3.09134451003163e-9,""particulate_matter"":0.000008646512855915803,""photochemical_oxidant"":0.0003654953470678274},""ecoinvent_version"":""3.11"",""cost_per_unit"":0.001,""cost_unit"":""USD/kg""}]","[{""material"":""Steel"",""quantity"":19,""unit"":""kg""},{""material"":""Copper"",""quantity"":19,""unit"":""kg""},{""material"":""Aluminum"",""quantity"":35,""unit"":""kg""},{""material"":""Separator"",""quantity"":1.71,""unit"":""kg""},{""material"":""Delithiated_Cathode"",""quantity"":54.2,""unit"":""kg""},{""material"":""Li_Solution"",""quantity"":10,""unit"":""kg""}]",95% recovery rate dissolution (10kg water becomes lithium solution)
P008,P011,Anode_Material_Separation,Chemical_Processing,Recycling,3,false,Buchner_Filtration_Kit,1,25,"[{""name"":""Electricity US Market"",""quantity"":0.75,""unit"":""kilowatt hour"",""activity_name"":""market group for electricity, high voltage"",""reference_product"":""electricity, high voltage"",""location"":""US"",""traci_scores_per_unit"":{""acidification"":0.0010783466898392033,""climate_change"":0.47364378364056875,""ecotoxicity_freshwater"":4.0086254417516285,""eutrophication"":0.0030612886136400694,""human_toxicity_carcinogenic"":6.769333359516778e-8,""human_toxicity_non_carcinogenic"":1.2086307600978304e-7,""ozone_depletion"":1.4927648526597362e-9,""particulate_matter"":0.0011644174367318656,""photochemical_oxidant"":0.013172422097287091},""ecoinvent_version"":""3.11"",""cost_per_unit"":0.071,""cost_unit"":""USD/kWh"",""impact_sources"":{""greet_2025"":{""traci_scores_per_unit"":{""acidification"":0.00042899,""climate_change"":0.392645,""ecotoxicity_freshwater"":0,""eutrophication"":0.0000158806,""human_toxicity_carcinogenic"":0,""human_toxicity_non_carcinogenic"":0,""ozone_depletion"":0,""particulate_matter"":0.0000402869,""photochemical_oxidant"":0.00916165},""activity_name"":""electricity, grid mix at user site, US average"",""reference_product"":""electricity"",""location"":""US"",""database"":""greet_2025""}}}]",[],Separation of lithium solution from rest of materials
P009,P010,Na2CO3_Preparation,Chemical_Processing,Recycling,3,false,Stainless_Steel_Reactor,3,25,"[{""name"":""Electricity US Market"",""quantity"":1.3,""unit"":""kilowatt hour"",""activity_name"":""market group for electricity, high voltage"",""reference_product"":""electricity, high voltage"",""location"":""US"",""traci_scores_per_unit"":{""acidification"":0.0010783466898392033,""climate_change"":0.47364378364056875,""ecotoxicity_freshwater"":4.0086254417516285,""eutrophication"":0.0030612886136400694,""human_toxicity_carcinogenic"":6.769333359516778e-8,""human_toxicity_non_carcinogenic"":1.2086307600978304e-7,""ozone_depletion"":1.4927648526597362e-9,""particulate_matter"":0.0011644174367318656,""photochemical_oxidant"":0.013172422097287091},""ecoinvent_version"":""3.11"",""cost_per_unit"":0.071,""cost_unit"":""USD/kWh"",""impact_sources"":{""greet_2025"":{""traci_scores_per_unit"":{""acidification"":0.00042899,""climate_change"":0.392645,""ecotoxicity_freshwater"":0,""eutrophication"":0.0000158806,""human_toxicity_carcinogenic"":0,""human_toxicity_non_carcinogenic"":0,""ozone_depletion"":0,""particulate_matter"":0.0000402869,""photochemical_oxidant"":0.00916165},""activity_name"":""electricity, grid mix at user site, US average"",""reference_product"":""electricity"",""location"":""US"",""database"":""greet_2025""}}},{""name"":""Water"",""quantity"":25,""unit"":""kilogram"",""activity_name"":""water production, ultrapure"",""reference_product"":""water, ultrapure"",""location"":""RoW"",""traci_scores_per_unit"":{""acidification"":0.00002590744596061084,""climate_change"":0.005975497094308466,""ecotoxicity_freshwater"":0.10981961317765973,""eutrophication"":0.0003730095870964186,""human_toxicity_carcinogenic"":4.974086822100288e-9,""human_toxicity_non_carcinogenic"":2.208432165905287e-9,""ozone_depletion"":3.09134451003163e-9,""particulate_matter"":0.000008646512855915803,""photochemical_oxidant"":0.0003654953470678274},""ecoinvent_version"":""3.11"",""cost_per_unit"":0.001,""cost_unit"":""USD/kg""},{""name"":""Soda Ash (Sodium Carbonate) Na2CO3"",""quantity"":5,""unit"":""kilogram"",""activity_name"":""soda production, solvay process"",""reference_product"":""soda ash, light"",""location"":""RoW"",""traci_scores_per_unit"":{""acidification"":0.00438988397506143,""climate_change"":0.4230160782839509,""ecotoxicity_freshwater"":19.40847650553868,""eutrophication"":0.00226692530598823,""human_toxicity_carcinogenic"":2.0293009346186136e-7,""human_toxicity_non_carcinogenic"":3.3075488059606136e-7,""ozone_depletion"":2.406907563978243e-9,""particulate_matter"":0.0005244800423824467,""photochemical_oxidant"":0.029400273784111513},""ecoinvent_version"":""3.11"",""cost_per_unit"":81.25,""cost_unit"":""USD/kg"",""impact_sources"":{""greet_2025"":{""traci_scores_per_unit"":{""acidification"":0.000367245,""climate_change"":0.633354,""ecotoxicity_freshwater"":0,""eutrophication"":0.0000129701,""human_toxicity_carcinogenic"":0,""human_toxicity_non_carcinogenic"":0,""ozone_depletion"":0,""particulate_matter"":0.000143521,""photochemical_oxidant"":0.00758528},""activity_name"":""soda ash (sodium carbonate, Na2CO3)"",""reference_product"":""soda ash"",""location"":""US"",""database"":""greet_2025""}}}]",[],Preparing Na2CO3 solution (25kg water + 5kg Na2CO3)
P010,P012,LiCO3_Precipitation,Chemical_Processing,Recycling,3,false,Buchner_Filtration_Kit,0.5,25,[],[],Lab-scale yield scaling (2.2kg Li2CO3 from lithium solution)
